sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,mistral-7b,outputs/outputs_1,True,False,False,True,0.2489834089586117,0.2282728197269748,0.35782180261457136,0.3562865497076023,0.9253333333333333
gpt-3.5-turbo,mistral-7b,outputs/outputs_2,True,False,False,True,0.23958244131720968,0.22353434297803218,0.361025290756583,0.31231231231231227,0.9266666666666666
gpt-3.5-turbo,mistral-7b,outputs/outputs_3,True,False,False,True,0.2486771075035338,0.2257801929609339,0.3578315232352936,0.3564758148601478,0.9286666666666666
gpt-3.5-turbo,mistral-7b,outputs/outputs_1,True,False,False,False,0.22110505857892815,0.2282728197269748,0.35782180261457136,0.3562865497076023,0.9253333333333333
gpt-3.5-turbo,mistral-7b,outputs/outputs_2,True,False,False,False,0.21600264056399943,0.22353434297803218,0.361025290756583,0.31231231231231227,0.9266666666666666
gpt-3.5-turbo,mistral-7b,outputs/outputs_3,True,False,False,False,0.21806048739341827,0.2257801929609339,0.3578315232352936,0.3564758148601478,0.9286666666666666
gpt-4o,mistral-7b,outputs/outputs_1,True,False,False,True,0.475979002696951,0.4727088562187361,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,mistral-7b,outputs/outputs_2,True,False,False,True,0.475979002696951,0.4727088562187361,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,mistral-7b,outputs/outputs_3,True,False,False,True,0.4749103690670575,0.47164118188170107,0.7262800343702728,0.7388888888888888,0.99
gpt-4o,mistral-7b,outputs/outputs_1,True,False,False,False,0.4701420765266329,0.4727088562187361,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,mistral-7b,outputs/outputs_2,True,False,False,False,0.4701420765266329,0.4727088562187361,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,mistral-7b,outputs/outputs_3,True,False,False,False,0.46907779242372166,0.47164118188170107,0.7262800343702728,0.7388888888888888,0.99
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,False,True,0.25891071488003586,0.22602487963025045,0.3558929640036646,0.37238547734947886,0.89
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_2,False,False,False,True,0.24614396395445026,0.22377054352598744,0.36237519113619204,0.3133410158039395,0.9033333333333333
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_3,False,False,False,True,0.24886760511855802,0.2231540420566605,0.36332431757345496,0.3091101244485219,0.8953333333333333
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_1,False,False,False,False,0.2151521240121484,0.22602487963025045,0.3558929640036646,0.37238547734947886,0.89
gpt-3.5-turbo,gpt-3.5-turbo,outputs/outputs_2,False,False,False,False,0.21324185162076473,0.22377054352598744,0.36237519113619204,0.3133410158039395,0.9033333333333333
